document_id,document_name,organization,url,document_sha256,file_size_bytes,format,status
"SRC-BSEE-0001","SRC-BSEE-0001.pdf","BSEE","https://www.bsee.gov/safety-alerts/segregate-pyrotechnics-and-verify-flare-type-before-emergency-drills","03a91c1d0c01f35ed6773297a5182d01bf8f62f80b233e1fac05176ae1f3df41","335002","PDF","VERIFIED"
"SRC-BSEE-0002","SRC-BSEE-0002.pdf","BSEE","https://www.bsee.gov/safety-alerts/improvements-needed-in-production-safety-system-training","289244d5c66fba01b8aa9dd0f8ab75c26cd35aac90b284bdad1d995674591e21","451387","PDF","VERIFIED"
"SRC-BSEE-0003","SRC-BSEE-0003.pdf","BSEE","https://www.bsee.gov/safety-alerts/control-portable-electronic-device-use-to-prevent-ignition-hazards-offshore","aa9bdb68e4f8422a821bbd090395d858fe6480198bcfb492d6d70134649a8b99","203395","PDF","VERIFIED"
"SRC-BSEE-0004","SRC-BSEE-0004.pdf","BSEE","https://www.bsee.gov/safety-alerts/inspect-a2b-systems-and-wire-rope-terminations-to-prevent-crane-hazards","67e560035f70f84a08c32b8e8784795e376d7dc4b55faf283bf176d4bdc1fe74","533551","PDF","VERIFIED"
"SRC-BSEE-0005","SRC-BSEE-0005.pdf","BSEE","https://www.bsee.gov/safety-alerts/verify-riser-fin-retention-systems-before-prompts-riser-handling-operations","c046e244381112d07b6f2aa877e0f57f9fff7c7096076a2ca1473f265f0a9d4b","667091","PDF","VERIFIED"
"SRC-BSEE-0006","SRC-BSEE-0006.pdf","BSEE","https://www.bsee.gov/safety-alerts/mechanical-failure-of-lact-pump-caused-fire","495fa538501285bfa1ba130ed014df417a81513284703700b3df2373b23945e5","270781","PDF","VERIFIED"
"SRC-BSEE-0007","SRC-BSEE-0007.pdf","BSEE","https://www.bsee.gov/safety-alerts/poorly-maintained-crane-components-result-in-multiple-personnel-injured-during","4d683d81fffc04677760e88bdb1e4e2797e5912fcdeb80865462dc439a88b742","505634","PDF","VERIFIED"
"SRC-BSEE-0008","SRC-BSEE-0008.pdf","BSEE","https://www.bsee.gov/safety-alerts/bsee-identifies-compressed-gas-cylinder-hazards-during-risk-based-inspections","377c09885be18063a09f8c4817274f7811048c0fa9cb33fcecafda6240c45d35","378811","PDF","VERIFIED"
"SRC-BSEE-0009","SRC-BSEE-0009.pdf","BSEE","https://www.bsee.gov/safety-alerts/verify-megge-testing-and-termination-prep-to-prevent-seawater-pump-motor-fires","0701fc93b00352ce67e92b80f064bdc2742a79b52fadc0ce2ba2b8be0eeb642d","466007","PDF","VERIFIED"
"SRC-BSEE-0010","SRC-BSEE-0010.pdf","BSEE","https://www.bsee.gov/safety-alerts/exterior-walkway-separates-from-temporary-living-quarters-putting-workers-at-risk","f3920cd749473699b6e1a689ffc8a100101db9576139b65994f3db250935741a","233238","PDF","VERIFIED"
"SRC-BSEE-0011","SRC-BSEE-0011.pdf","BSEE","https://www.bsee.gov/safety-alerts/crane-incident-during-well-abandonment-operations-injures-worker-reveals-safety-gaps","b2d2e445c0f1244a0edc550b1b60406d225c0b4658c98e468e6632e114af9b67","454279","PDF","VERIFIED"
"SRC-BSEE-0012","SRC-BSEE-0012.pdf","BSEE","https://www.bsee.gov/safety-alerts/miscommunication-and-trapped-pressure-causes-injury","0f4223a6764b8f436d1a4a5a0c0dd202a598fca026725d1457bde57fbfcc6a89","214102","PDF","VERIFIED"
"SRC-BSEE-0013","SRC-BSEE-0013.pdf","BSEE","https://www.bsee.gov/safety-alerts/review-anchor-handling-plans-now-incident-damages-subsea-equipment-triggers-gas","789c72f53fc1609bfaa806cf857170847b4245a7d70f9e6096a4be8d98ea4340","128875","PDF","VERIFIED"
"SRC-BSEE-0014","SRC-BSEE-0014.pdf","BSEE","https://www.bsee.gov/safety-alerts/improper-use-of-equipment-and-tools-increases-risk-of-fires-and-explosions-offshore","cf8c9323cb2af624f97d6c1b0b27a624c25b0d59a030cafd7543a013026c1049","261571","PDF","VERIFIED"
"SRC-BSEE-0015","SRC-BSEE-0015.pdf","BSEE","https://www.bsee.gov/safety-alerts/arc-flash-incident-highlights-critical-need-for-voltage-verification-during-offshore","84040196b540cbfd316d1655911f710bdbca15e334f2a020ef0baec8c0f49893","240624","PDF","VERIFIED"
"SRC-BSEE-0016","SRC-BSEE-0016.pdf","BSEE","https://www.bsee.gov/safety-alerts/bsee-risk-based-inspections-reveal-increase-in-slip-trip-fall-hazards-on-offshore","51b03b58b62a18717279dcd5cf1c6be44a7615d4ebe7f70759c002b0908c8e48","316910","PDF","VERIFIED"
"SRC-BSEE-0017","SRC-BSEE-0017.pdf","BSEE","https://www.bsee.gov/safety-alerts/malfunction-of-rental-generators-engine-air-shutoff-system-led-to-fire","be1731ae9baa13ed9c84b5d90668a3919d6c7f7402a5ecb106a74570895d6819","439804","PDF","VERIFIED"
"SRC-BSEE-0018","SRC-BSEE-0018.pdf","BSEE","https://www.bsee.gov/safety-alerts/fatigue-cracking-of-34-inch-pipe-nipple-results-in-gas-release","086f61e74bfbbb0f6a3bc043ae394971b6f39657d836ef75e48924cb7f8e097a","243186","PDF","VERIFIED"
"SRC-BSEE-0019","SRC-BSEE-0019.pdf","BSEE","https://www.bsee.gov/safety-alerts/bsee-identifies-bypassed-safety-device-deficiencies-during-risk-based-inspections","051031222ad5a45547e7b123c3bd855b9792d467708687d2198f066a98e3d1ca","326176","PDF","VERIFIED"
"SRC-BSEE-0020","SRC-BSEE-0020.pdf","BSEE","https://www.bsee.gov/safety-alerts/dropped-steel-plate-due-to-defective-lifting-device-and-inadequate-hazard-analysis","ba376089cf49afaddad8620149315c0374506e6aa647922bc63be4847e1453ac","250671","PDF","VERIFIED"
"SRC-BSEE-0021","SRC-BSEE-0021.pdf","BSEE","https://www.bsee.gov/safety-alerts/failed-umbilical-termination-results-in-dropped-remotely-operated-vehicle-rov","943fd2a280694411cb9234ec54915b0bc6d9288bb2eee9d9ecee97db26bbdc77","402775","PDF","VERIFIED"
"SRC-BSEE-0022","SRC-BSEE-0022.pdf","BSEE","https://www.bsee.gov/safety-alerts/explosion-and-fire-on-liftboat-injure-workers-bsee-calls-for-enhanced-safety-measures","10ecccbf4edb95ee2d19ea9c4a7177bfd463ebec911f03c2f51b8295e82fdda4","475139","PDF","VERIFIED"
"SRC-BSEE-0023","SRC-BSEE-0023.pdf","BSEE","https://www.bsee.gov/safety-alerts/weather-creates-sudden-and-unpredictable-risks","25c776f528f4ddf774414ba89071dc7309d38f64b5df8188cdef2df046487050","334803","PDF","VERIFIED"
"SRC-BSEE-0024","SRC-BSEE-0024.pdf","BSEE","https://www.bsee.gov/safety-alerts/misidentification-of-corrosion-hazard-results-in-high-potential-event","7d1b99d4462a026c572e514331178830f7afa66d0443cf2dd36447d256b709de","290619","PDF","VERIFIED"
"SRC-BSEE-0025","SRC-BSEE-0025.pdf","BSEE","https://www.bsee.gov/safety-alerts/turbine-generator-exhaust-silencer-failure-1-27-25","0dc588bef4f4f2af4a273175f1e35a9f1b9f1e3694fa24afd6dc0b8070d460b1","308729","PDF","VERIFIED"
"SRC-BSEE-0026","SRC-BSEE-0026.pdf","BSEE","https://www.bsee.gov/safety-alerts/ruptured-nitrogen-cylinders","2113109293c03b1d2aeaee42259fbd3e8e20b6cf95c2f7014ce20e64b261b1ce","363009","PDF","VERIFIED"
"SRC-BSEE-0027","SRC-BSEE-0027.pdf","BSEE","https://www.bsee.gov/safety-alerts/bsee-alerts-offshore-workers-to-series-of-incidents-involving-self-retracting","06643f877ee2d0fc08c773b439d4f62b07b71067e0fe0efa11bb05c188548049","304668","PDF","VERIFIED"
"SRC-BSEE-0028","SRC-BSEE-0028.pdf","BSEE","https://www.bsee.gov/safety-alerts/vigilance-required-in-offshore-helideck-operations","c3eff87054897876bdc25f2162c8055f06c5f5f8f5d4df17fc2e6cf69e83fe14","349627","PDF","VERIFIED"
